model_id,model_hidden1,model_hidden2,model_hidden3,model_l1,model_epochs,activation,auc
Grid_DeepLearning_train_model_R_1499821264506_1_model_45,100,300,100,1e-07,53.1386711130501,Tanh,0.951725442546558
Grid_DeepLearning_train_model_R_1499821264506_1_model_41,100,300,100,1e-07,47.6190049730236,Tanh,0.941184545532734
Grid_DeepLearning_train_model_R_1499821264506_1_model_17,100,300,100,1e-05,44.451223649519,Tanh,0.946555534855175
Grid_DeepLearning_train_model_R_1499821264506_1_model_21,100,300,100,1e-05,45.9773058191418,Tanh,0.94178440205183
Grid_DeepLearning_train_model_R_1499821264506_1_model_12,500,500,500,1e-05,58.867804097799,Rectifier,0.935258173121617
Grid_DeepLearning_train_model_R_1499821264506_1_model_24,1024,512,256,1e-07,47.2770119709797,Rectifier,0.928941059943179
Grid_DeepLearning_train_model_R_1499821264506_1_model_28,1024,512,256,1e-07,57.3218925975112,Rectifier,0.920042528258754
Grid_DeepLearning_train_model_R_1499821264506_1_model_0,1024,512,256,1e-05,45.9807855012386,Rectifier,0.935051139382834
Grid_DeepLearning_train_model_R_1499821264506_1_model_36,500,500,500,1e-07,54.674649510422,Rectifier,0.926709484937583
Grid_DeepLearning_train_model_R_1499821264506_1_model_33,500,500,500,1e-07,21.1752981541277,Tanh,0.951695608525123
Grid_DeepLearning_train_model_R_1499821264506_1_model_4,1024,512,256,1e-05,58.4881901276966,Rectifier,0.944827161977394
Grid_DeepLearning_train_model_R_1499821264506_1_model_37,500,500,500,1e-07,20.7236365403871,Tanh,0.951923699171756
Grid_DeepLearning_train_model_R_1499821264506_1_model_32,500,500,500,1e-07,50.3192026134102,Rectifier,0.928095264619034
Grid_DeepLearning_train_model_R_1499821264506_1_model_29,1024,512,256,1e-07,17.8559560933248,Tanh,0.949498709241758
Grid_DeepLearning_train_model_R_1499821264506_1_model_25,1024,512,256,1e-07,18.5676812174577,Tanh,0.938832548528743
Grid_DeepLearning_train_model_R_1499821264506_1_model_8,500,500,500,1e-05,49.4028161715941,Rectifier,0.927728520072018
Grid_DeepLearning_train_model_R_1499821264506_1_model_5,1024,512,256,1e-05,19.9654783322626,Tanh,0.958668580289712
Grid_DeepLearning_train_model_R_1499821264506_1_model_13,500,500,500,1e-05,23.5764128661212,Tanh,0.952719183264352
Grid_DeepLearning_train_model_R_1499821264506_1_model_9,500,500,500,1e-05,22.8085704362057,Tanh,0.951435993752393
Grid_DeepLearning_train_model_R_1499821264506_1_model_16,100,300,100,1e-05,54.0027499071122,Rectifier,0.908664849812319
Grid_DeepLearning_train_model_R_1499821264506_1_model_1,1024,512,256,1e-05,19.7088485660602,Tanh,0.953044058938375
Grid_DeepLearning_train_model_R_1499821264506_1_model_20,100,300,100,1e-05,64.1637392465706,Rectifier,0.932305739900796
Grid_DeepLearning_train_model_R_1499821264506_1_model_14,500,500,500,1e-05,59.8870460415785,RectifierWithDropout,0.946987850564244
Grid_DeepLearning_train_model_R_1499821264506_1_model_38,500,500,500,1e-07,59.5374165469689,RectifierWithDropout,0.943148961530295
Grid_DeepLearning_train_model_R_1499821264506_1_model_30,1024,512,256,1e-07,58.3110943671425,RectifierWithDropout,0.942796872721778
Grid_DeepLearning_train_model_R_1499821264506_1_model_6,1024,512,256,1e-05,60.5265708628694,RectifierWithDropout,0.950866926531281
Grid_DeepLearning_train_model_R_1499821264506_1_model_40,100,300,100,1e-07,54.0027499071122,Rectifier,0.912868164602347
Grid_DeepLearning_train_model_R_1499821264506_1_model_2,1024,512,256,1e-05,50.0862381855805,RectifierWithDropout,0.947195129245733
Grid_DeepLearning_train_model_R_1499821264506_1_model_26,1024,512,256,1e-07,49.9065443507226,RectifierWithDropout,0.942798170918113
Grid_DeepLearning_train_model_R_1499821264506_1_model_44,100,300,100,1e-07,63.0939457257447,Rectifier,0.926744740357549
Grid_DeepLearning_train_model_R_1499821264506_1_model_34,500,500,500,1e-07,50.8400435234868,RectifierWithDropout,0.949678235914802
