,MeanDecreaseAccuracy,MeanDecreaseGini
x.elevation,61.8483954630009,844.048104674279
x.distance_road,58.9483900299353,898.193110221432
x.distance_water,86.1665294485971,359.787253354318
x.distance_school,58.4970154464059,1118.61198348146
x.AREALAND,17.633075447346,290.749731958096
x.TOTAL,11.5071080540956,82.9912174638605
x.RACE1,11.9017950995617,87.7014137820304
x.WHITE,14.4754863528741,164.003801831877
x.BLACK,22.8162846047762,135.459108198354
x.NATAM,16.4730483570837,101.812778032924
x.ASIAN,16.7998981089157,95.5473079241199
x.PACIF,14.5043541483984,37.6720038405585
x.OTHER,22.2302605489278,111.114299701941
x.RACE2MORE,13.0731146845027,108.937516985745
x.RACE2,14.5864225464135,120.686201815793
x.RACE3,13.5662036225101,77.6333314951215
x.RACE4,7.44619176145984,57.9690068064156
x.RACE5,8.42460186109202,9.52284294380397
x.RACE6,0,0
x.HISPTOT,17.3160266254764,154.722819962067
x.NHTOT,10.2262821162473,85.918481764728
x.NHRACE1,9.85879090827794,77.0136071985139
x.NHWHITE,13.7149400943854,143.309622459935
x.NHBLACK,23.0493286972326,129.848482914745
x.NHNATAM,17.6087184429414,106.332304035833
x.NHASIAN,16.8549381491422,92.6588574172371
x.NHPACIF,13.1573841887495,42.1758170796958
x.NHOTHER,15.3101531562937,46.5914871319239
x.NH2MORE,14.0911599218776,134.688407022237
x.NHRACE2,15.9787840766205,132.238992760154
x.NHRACE3,11.9037061184075,78.3143110121312
x.NHRACE4,8.71285497131806,36.8448341137919
x.NHRACE5,9.22397592145441,5.45664372622489
x.NHRACE6,0,0
x.18TOTAL,12.3319409322599,73.8133836915778
x.18RACE1,12.1855700884674,71.5034516849853
x.18WHITE,14.6912793052981,151.513370667454
x.18BLACK,22.4450733418368,140.441825130246
x.18NATAM,16.6888633567141,105.18379463592
x.18ASIAN,17.3194168835677,95.9310226985701
x.18PACIF,15.0519225050412,44.5891184632556
x.18OTHER,17.027794542658,99.1858737650897
x.182MORE,13.195454072237,96.233693892234
x.18RACE2,14.2560212907669,96.1536184356541
x.18RACE3,11.9216103322961,72.3385165149077
x.18RACE4,7.02479477040803,25.9257748843656
x.18RACE5,8.57026295730289,7.15669527204813
x.18RACE6,0,0
x.HIS18TOT,17.5257880549383,159.115693425686
x.NH18TOT,10.9389146067792,75.504032670313
x.NH18RACE1,10.175359236258,71.4753784454601
x.NH18WHITE,14.6922055343496,155.894639858136
x.NH18BLACK,21.2793905176031,153.670835622987
x.NH18NATAM,18.0797410741129,113.560786819205
x.NH18ASIAN,18.4391725555123,98.1951158487091
x.NH18PACIF,14.4366773316834,35.7570180609058
x.NH18OTHER,11.2759321188647,35.3076842715883
x.NH182MORE,14.5535525030138,154.126274752617
x.NH18RACE2,14.9667383613838,113.401942436062
x.NH18RACE3,12.4273236867217,71.1165937723625
x.NH18RACE4,7.20360958106619,18.7647062750586
x.NH18RACE5,9.9824144225638,5.74963554161925
x.NH18RACE6,0,0
x.deltaIncome,67.958861629867,2637.56811196432
x.downtown_distance,67.9917997174535,8865.97190367192
x.distance_to_urban,60.2478513647638,4447.53267122643
x.previouslyUrbanized,91.4277271738459,15241.2838296094
